#Table S1. Protein copies per cell		
oln	SP_id	description	copies per cell
ENST00000643875	Q92574	Hamartin OS=Homo sapiens GN=TSC1 PE=1 SV=2	<5e2
ENST00000039989	Q96AE7	Tetratricopeptide repeat protein 17 OS=Homo sapiens GN=TTC17 PE=1 SV=1	<5e2
ENST00000341115	Q8TDD5	Mucolipin-3 OS=Homo sapiens GN=MCOLN3 PE=2 SV=1	<5e2
ENST00000342480	Q9NZ53	Podocalyxin-like protein 2 OS=Homo sapiens GN=PODXL2 PE=1 SV=1	<5e2
ENST00000537866	Q96DX4	RING finger and SPRY domain-containing protein 1 OS=Homo sapiens GN=RSPRY1 PE=2 SV=1	<5e2
ENST00000376741	Q02086	Transcription factor Sp2 OS=Homo sapiens GN=SP2 PE=1 SV=3	<5e2
ENST00000318312	Q8NFJ9	Bardet-Biedl syndrome 1 protein OS=Homo sapiens GN=BBS1 PE=1 SV=1	<5e2
ENST00000231524	P36406	GTP-binding protein ARD-1 OS=Homo sapiens GN=TRIM23 PE=1 SV=1	<5e2
ENST00000324774	Q96RR4	Calcium/calmodulin-dependent protein kinase kinase 2 OS=Homo sapiens GN=CAMKK2 PE=1 SV=1	<5e2
ENST00000341509	Q6UWM7	Lactase-like protein OS=Homo sapiens GN=LCTL PE=1 SV=2	<5e2
ENST00000301904	Q6AZY7	Scavenger receptor class A member 3 OS=Homo sapiens GN=SCARA3 PE=2 SV=1	<5e2
ENST00000314485	Q969P0	Immunoglobulin superfamily member 8 OS=Homo sapiens GN=IGSF8 PE=1 SV=1	<5e2
ENST00000382401	Q7Z5Q1	Cytoplasmic polyadenylation element-binding protein 2 OS=Homo sapiens GN=CPEB2 PE=2 SV=3, Cytoplasmic polyadenylation element-binding protein 3 OS=Homo sapiens GN=CPEB3 PE=1 SV=2	<5e2
ENST00000325599	Q6PI26	Protein SHQ1 homolog OS=Homo sapiens GN=SHQ1 PE=2 SV=2	<5e2
ENST00000416005	Q96ME7	Zinc finger protein 512 OS=Homo sapiens GN=ZNF512 PE=1 SV=2	<5e2
ENST00000417257	Q7Z6J6	FERM domain-containing protein 5 OS=Homo sapiens GN=FRMD5 PE=2 SV=1	<5e2
ENST00000261464	O00463	TNF receptor-associated factor 5 OS=Homo sapiens GN=TRAF5 PE=1 SV=2	<5e2
ENST00000361547	Q9NZV5	Selenoprotein N OS=Homo sapiens GN=SEPN1 PE=1 SV=4	<5e2
ENST00000318037	Q8IYW5	E3 ubiquitin-protein ligase RNF168 OS=Homo sapiens GN=RNF168 PE=1 SV=1	<5e2
ENST00000369912	P51854	Transketolase-like protein 1 OS=Homo sapiens GN=TKTL1 PE=1 SV=2	<5e2
ENST00000379344	Q58EX7	Puratrophin-1 OS=Homo sapiens GN=PLEKHG4 PE=1 SV=1	<5e2
ENST00000307968	Q8TF40	Folliculin-interacting protein 1 OS=Homo sapiens GN=FNIP1 PE=1 SV=2	<5e2
ENST00000334218	Q5VT25	Serine/threonine-protein kinase MRCK alpha OS=Homo sapiens GN=CDC42BPA PE=1 SV=1	<5e2
ENST00000307114	Q9BX10	GTP-binding protein 2 OS=Homo sapiens GN=GTPBP2 PE=2 SV=1	<5e2
ENST00000406902	Q6IC98	GRAM domain-containing protein 4 OS=Homo sapiens GN=GRAMD4 PE=1 SV=1	<5e2
ENST00000429544	O95243	Methyl-CpG-binding domain protein 4 OS=Homo sapiens GN=MBD4 PE=1 SV=1	<5e2
ENST00000261435	Q86UW6	NEDD4-binding protein 2 OS=Homo sapiens GN=N4BP2 PE=1 SV=2	<5e2
ENST00000361249	P07357	Complement component C8 alpha chain OS=Homo sapiens GN=C8A PE=1 SV=2	<5e2
ENST00000337975	Q9H0H3	Ectoderm-neural cortex protein 2 OS=Homo sapiens GN=KLHL25 PE=2 SV=1	<5e2
ENST00000420329	Q6UUV7	CREB-regulated transcription coactivator 3 OS=Homo sapiens GN=CRTC3 PE=1 SV=2	<5e2
ENST00000367288	P29536	Leiomodin-1 OS=Homo sapiens GN=LMOD1 PE=1 SV=2	<5e2
ENST00000396946	Q9BXL7	Caspase recruitment domain-containing protein 11 OS=Homo sapiens GN=CARD11 PE=1 SV=3	<5e2
ENST00000483173	Q9H8M2	Bromodomain-containing protein 9 OS=Homo sapiens GN=BRD9 PE=1 SV=2	<5e2
ENST00000361567	P03915	NADH-ubiquinone oxidoreductase chain 5 OS=Homo sapiens GN=MT-ND5 PE=1 SV=2	<5e2
ENST00000443617	Q15751	Probable E3 ubiquitin-protein ligase HERC1 OS=Homo sapiens GN=HERC1 PE=1 SV=1	<5e2
ENST00000321949	Q6UUV9	CREB-regulated transcription coactivator 1 OS=Homo sapiens GN=CRTC1 PE=1 SV=2	<5e2
ENST00000254337	Q66K64	DDB1- and CUL4-associated factor 15 OS=Homo sapiens GN=DCAF15 PE=1 SV=1	<5e2
ENST00000529983	Q8N4A0	Polypeptide N-acetylgalactosaminyltransferase 4 OS=Homo sapiens GN=GALNT4 PE=1 SV=1	<5e2
ENST00000377663	Q9UJP4	Kelch-like protein 21 OS=Homo sapiens GN=KLHL21 PE=1 SV=4	<5e2
ENST00000197268	A2RU67	Uncharacterized protein KIAA1467 OS=Homo sapiens GN=KIAA1467 PE=1 SV=1	<5e2
ENST00000371209	Q6NUS6	Tectonic-3 OS=Homo sapiens GN=TCTN3 PE=2 SV=2	<5e2
ENST00000342505	P23458	Tyrosine-protein kinase JAK1 OS=Homo sapiens GN=JAK1 PE=1 SV=2	<5e2
ENST00000370898	O14772	Fucose-1-phosphate guanylyltransferase OS=Homo sapiens GN=FPGT PE=1 SV=2, Serine/threonine-protein kinase TNNI3K OS=Homo sapiens GN=TNNI3K PE=1 SV=2	<5e2
ENST00000381607	Q15326	Zinc finger MYND domain-containing protein 11 OS=Homo sapiens GN=ZMYND11 PE=1 SV=1	<5e2
ENST00000418109	P55268	Laminin subunit beta-2 OS=Homo sapiens GN=LAMB2 PE=1 SV=2	<5e2
ENST00000464839	P32456	Interferon-induced guanylate-binding protein 2 OS=Homo sapiens GN=GBP2 PE=2 SV=3	<5e2
ENST00000625359	P32519	ETS-related transcription factor Elf-1 OS=Homo sapiens GN=ELF1 PE=1 SV=2	<5e2
ENST00000367295	Q8NEY1	Neuron navigator 1 OS=Homo sapiens GN=NAV1 PE=1 SV=2	<5e2
ENST00000323116	Q9Y2G3	Probable phospholipid-transporting ATPase IF OS=Homo sapiens GN=ATP11B PE=1 SV=2	<5e2
ENST00000395848	O75376	Nuclear receptor corepressor 1 OS=Homo sapiens GN=NCOR1 PE=1 SV=2	<5e2
ENST00000252321	P22460	Potassium voltage-gated channel subfamily A member 5 OS=Homo sapiens GN=KCNA5 PE=1 SV=4	<5e2
ENST00000367253	Q8NF91	Nesprin-1 OS=Homo sapiens GN=SYNE1 PE=1 SV=3	<5e2
ENST00000393443	Q9NRC1	Suppressor of tumorigenicity protein 7 OS=Homo sapiens GN=ST7 PE=1 SV=1	<5e2
ENST00000356231	Q8IWY9	Codanin-1 OS=Homo sapiens GN=CDAN1 PE=1 SV=3	<5e2
ENST00000340253	Q6PIJ6	F-box only protein 38 OS=Homo sapiens GN=FBXO38 PE=1 SV=3	<5e2
ENST00000265334	Q8IVW4	Cyclin-dependent kinase-like 3 OS=Homo sapiens GN=CDKL3 PE=2 SV=1	<5e2
ENST00000534749	O00562	Membrane-associated phosphatidylinositol transfer protein 1 OS=Homo sapiens GN=PITPNM1 PE=1 SV=4	<5e2
ENST00000333175	Q4ZIN3	Membralin OS=Homo sapiens GN=C19orf6 PE=1 SV=1	<5e2
ENST00000294256	Q86TM6	E3 ubiquitin-protein ligase synoviolin OS=Homo sapiens GN=SYVN1 PE=1 SV=2	<5e2
ENST00000380359	Q7Z628	Neuroepithelial cell-transforming gene 1 protein OS=Homo sapiens GN=NET1 PE=1 SV=1	<5e2
ENST00000393243	Q14687	Genetic suppressor element 1 OS=Homo sapiens GN=GSE1 PE=1 SV=3	<5e2
ENST00000333003	P13056	Nuclear receptor subfamily 2 group C member 1 OS=Homo sapiens GN=NR2C1 PE=1 SV=2	<5e2
ENST00000370303	Q9Y483	Metal-response element-binding transcription factor 2 OS=Homo sapiens GN=MTF2 PE=1 SV=1	<5e2
ENST00000320640	Q8TB96	T-cell immunomodulatory protein OS=Homo sapiens GN=ITFG1 PE=1 SV=1	<5e2
ENST00000461106	Q05513	Protein kinase C zeta type OS=Homo sapiens GN=PRKCZ PE=1 SV=4	<5e2
ENST00000261168	Q6VMQ6	Activating transcription factor 7-interacting protein 1 OS=Homo sapiens GN=ATF7IP PE=1 SV=2	<5e2
ENST00000294543	Q5TGY1	Transmembrane and coiled-coil domain-containing protein 4 OS=Homo sapiens GN=TMCO4 PE=2 SV=1	<5e2
ENST00000392870	P34947	G protein-coupled receptor kinase 5 OS=Homo sapiens GN=GRK5 PE=1 SV=1, G protein-coupled receptor kinase 6 OS=Homo sapiens GN=GRK6 PE=1 SV=2	<5e2
ENST00000339998	Q9UIS9	Methyl-CpG-binding domain protein 1 OS=Homo sapiens GN=MBD1 PE=1 SV=2	<5e2
---	Q8N787	Transmembrane protein C18orf30 OS=Homo sapiens GN=C18orf30 PE=2 SV=1	<5e2
ENST00000342916	P00533	Epidermal growth factor receptor OS=Homo sapiens GN=EGFR PE=1 SV=2	<5e2
ENST00000332687	Q9NVW2	E3 ubiquitin-protein ligase RLIM OS=Homo sapiens GN=RLIM PE=1 SV=3	<5e2
ENST00000356924	O14678	ATP-binding cassette sub-family D member 4 OS=Homo sapiens GN=ABCD4 PE=2 SV=1	<5e2
ENST00000349820	Q15051	IQ calmodulin-binding motif-containing protein 1 OS=Homo sapiens GN=IQCB1 PE=1 SV=1	<5e2
---	P0C7X5	Zinc finger protein 806 OS=Homo sapiens GN=ZNF806 PE=2 SV=1	<5e2
ENST00000378643	O15287	Fanconi anemia group G protein OS=Homo sapiens GN=FANCG PE=1 SV=1	<5e2
ENST00000275034	Q8WWQ0	PH-interacting protein OS=Homo sapiens GN=PHIP PE=1 SV=1	<5e2
ENST00000359846	Q96P26	Cytosolic 5'-nucleotidase 1B OS=Homo sapiens GN=NT5C1B PE=2 SV=2	<5e2
ENST00000370489	Q9NQZ7	Ectonucleoside triphosphate diphosphohydrolase 7 OS=Homo sapiens GN=ENTPD7 PE=2 SV=1	<5e2
ENST00000297107	Q86SR1	Polypeptide N-acetylgalactosaminyltransferase 10 OS=Homo sapiens GN=GALNT10 PE=1 SV=2	<5e2
ENST00000263663	Q53T94	TATA box-binding protein-associated factor RNA polymerase I subunit B OS=Homo sapiens GN=TAF1B PE=1 SV=1	<5e2
ENST00000379942	P46019	Phosphorylase b kinase regulatory subunit alpha, liver isoform OS=Homo sapiens GN=PHKA2 PE=1 SV=1	<5e2
ENST00000367876	Q9P215	Pogo transposable element with KRAB domain OS=Homo sapiens GN=POGK PE=1 SV=2	<5e2
ENST00000256031	Q9H7F0	Probable cation-transporting ATPase 13A3 OS=Homo sapiens GN=ATP13A3 PE=1 SV=4	<5e2
ENST00000394983	Q96K58	Zinc finger protein 668 OS=Homo sapiens GN=ZNF668 PE=2 SV=2	<5e2
ENST00000600537	Q9NRA0	Sphingosine kinase 2 OS=Homo sapiens GN=SPHK2 PE=1 SV=2	<5e2
ENST00000367090	Q9P2C4	Transmembrane protein 181 OS=Homo sapiens GN=TMEM181 PE=1 SV=2	<5e2
ENST00000173229	O95631	Netrin-1 OS=Homo sapiens GN=NTN1 PE=1 SV=2	<5e2
ENST00000256190	Q86WG5	Myotubularin-related protein 13 OS=Homo sapiens GN=SBF2 PE=1 SV=1	<5e2
ENST00000373789	Q8IZC4	Rhotekin-2 OS=Homo sapiens GN=RTKN2 PE=2 SV=1	<5e2
ENST00000311128	Q8IWF6	Protein FAM116A OS=Homo sapiens GN=FAM116A PE=2 SV=1	<5e2
ENST00000359039	Q9P2J3	Kelch-like protein 9 OS=Homo sapiens GN=KLHL9 PE=1 SV=2, Kelch-like protein 13 OS=Homo sapiens GN=KLHL13 PE=1 SV=3	<5e2
ENST00000263379	Q6UWB1	Interleukin-27 receptor subunit alpha OS=Homo sapiens GN=IL27RA PE=2 SV=2	<5e2
ENST00000261858	O94923	D-glucuronyl C5-epimerase OS=Homo sapiens GN=GLCE PE=1 SV=3	<5e2
ENST00000414773	O14967	Calmegin OS=Homo sapiens GN=CLGN PE=1 SV=1	<5e2
ENST00000319977	Q8N3J3	Uncharacterized protein C17orf53 OS=Homo sapiens GN=C17orf53 PE=2 SV=1	<5e2
ENST00000336749	Q6UVY6	DBH-like monooxygenase protein 1 OS=Homo sapiens GN=MOXD1 PE=2 SV=1	<5e2
ENST00000325875	Q9H9A7	RecQ-mediated genome instability protein 1 OS=Homo sapiens GN=RMI1 PE=1 SV=2	<5e2
ENST00000438661	Q03721	Potassium voltage-gated channel subfamily C member 4 OS=Homo sapiens GN=KCNC4 PE=1 SV=2	<5e2
ENST00000336505	Q8N9R8	Protein SCAI OS=Homo sapiens GN=SCAI PE=1 SV=2	<5e2
ENST00000599218	O43900	Prickle-like protein 3 OS=Homo sapiens GN=PRICKLE3 PE=1 SV=2	<5e2
ENST00000265565	Q12770	Sterol regulatory element-binding protein cleavage-activating protein OS=Homo sapiens GN=SCAP PE=1 SV=4	<5e2
ENST00000335997	Q99607	ETS-related transcription factor Elf-4 OS=Homo sapiens GN=ELF4 PE=1 SV=1	<5e2
ENST00000373195	Q9NZB8	Molybdenum cofactor biosynthesis protein 1 OS=Homo sapiens GN=MOCS1 PE=1 SV=3	<5e2
ENST00000520262	Q08357	Sodium-dependent phosphate transporter 2 OS=Homo sapiens GN=SLC20A2 PE=1 SV=1	<5e2
ENST00000419147	Q9UKG9	Peroxisomal carnitine O-octanoyltransferase OS=Homo sapiens GN=CROT PE=1 SV=2	<5e2
ENST00000614654	Q86XI8	Uncharacterized protein C19orf68 OS=Homo sapiens GN=C19orf68 PE=2 SV=2	<5e2
ENST00000430262	Q9Y2D9	Zinc finger protein 652 OS=Homo sapiens GN=ZNF652 PE=1 SV=3	<5e2
ENST00000356819	Q02297	Pro-neuregulin-1, membrane-bound isoform OS=Homo sapiens GN=NRG1 PE=1 SV=3	<5e2
ENST00000338244	Q9UGH3	Solute carrier family 23 member 2 OS=Homo sapiens GN=SLC23A2 PE=1 SV=1	<5e2
ENST00000470229	Q9Y5A7	NEDD8 ultimate buster 1 OS=Homo sapiens GN=NUB1 PE=1 SV=2	<5e2
ENST00000361357	Q99759	Mitogen-activated protein kinase kinase kinase 3 OS=Homo sapiens GN=MAP3K3 PE=1 SV=2	<5e2
ENST00000544260	Q9ULD2	Microtubule-associated tumor suppressor 1 OS=Homo sapiens GN=MTUS1 PE=1 SV=2	<5e2
ENST00000371227	Q9BX66	Sorbin and SH3 domain-containing protein 1 OS=Homo sapiens GN=SORBS1 PE=1 SV=2	<5e2
ENST00000343882	O43524	Forkhead box protein O3 OS=Homo sapiens GN=FOXO3 PE=1 SV=1	<5e2
ENST00000405860	Q05BQ5	MBT domain-containing protein 1 OS=Homo sapiens GN=MBTD1 PE=1 SV=2	<5e2
ENST00000421419	Q2TAZ0	Autophagy-related protein 2 homolog A OS=Homo sapiens GN=ATG2A PE=1 SV=2	<5e2
ENST00000374584	Q8NG27	E3 ubiquitin-protein ligase Praja1 OS=Homo sapiens GN=PJA1 PE=1 SV=2	<5e2
ENST00000324093	Q9Y4D7	Plexin-D1 OS=Homo sapiens GN=PLXND1 PE=1 SV=2	<5e2
ENST00000355431	P29374	AT-rich interactive domain-containing protein 4A OS=Homo sapiens GN=ARID4A PE=1 SV=3	<5e2
ENST00000438045	O43933	Peroxisome biogenesis factor 1 OS=Homo sapiens GN=PEX1 PE=1 SV=1	<5e2
ENST00000380221	P48553	Trafficking protein particle complex subunit 10 OS=Homo sapiens GN=TRAPPC10 PE=1 SV=2	<5e2
ENST00000342203	Q9Y2D8	Afadin- and alpha-actinin-binding protein OS=Homo sapiens GN=SSX2IP PE=1 SV=3	<5e2
ENST00000615301	A0MZ66	Shootin-1 OS=Homo sapiens GN=KIAA1598 PE=1 SV=4	<5e2
ENST00000486442	Q96CT2	Kelch-like protein 29 OS=Homo sapiens GN=KLHL29 PE=2 SV=2	<5e2
ENST00000216271	Q969S8	Histone deacetylase 10 OS=Homo sapiens GN=HDAC10 PE=1 SV=1	<5e2
ENST00000433179	Q5SV97	Uncharacterized protein C1orf170 OS=Homo sapiens GN=C1orf170 PE=2 SV=3	<5e2
ENST00000357628	Q9NUX5	Protection of telomeres protein 1 OS=Homo sapiens GN=POT1 PE=1 SV=1	<5e2
ENST00000441147	Q96JM2	Zinc finger protein 462 OS=Homo sapiens GN=ZNF462 PE=1 SV=3	<5e2
ENST00000366777	Q8NI60	Chaperone activity of bc1 complex-like, mitochondrial OS=Homo sapiens GN=CABC1 PE=1 SV=1	<5e2
ENST00000398090	P52569	Low affinity cationic amino acid transporter 2 OS=Homo sapiens GN=SLC7A2 PE=1 SV=2	<5e2
ENST00000360380	Q15468	SCL-interrupting locus protein OS=Homo sapiens GN=STIL PE=1 SV=2	<5e2
ENST00000269228	O15118	Niemann-Pick C1 protein OS=Homo sapiens GN=NPC1 PE=1 SV=2	<5e2
ENST00000409792	Q9BYW2	Histone-lysine N-methyltransferase SETD2 OS=Homo sapiens GN=SETD2 PE=1 SV=2	<5e2
ENST00000315073	Q8WV44	E3 ubiquitin-protein ligase TRIM 41 OS=Homo sapiens GN=TRIM41 PE=1 SV=3	<5e2
ENST00000304735	Q6EMK4	Vasorin OS=Homo sapiens GN=VASN PE=1 SV=1	<5e2
ENST00000490721	Q9H0M4	Zinc finger CW-type PWWP domain protein 1 OS=Homo sapiens GN=ZCWPW1 PE=1 SV=2	<5e2
ENST00000221891	P51693	Amyloid-like protein 1 OS=Homo sapiens GN=APLP1 PE=1 SV=3	<5e2
ENST00000585773	Q6ZW76	Ankyrin repeat and SAM domain-containing protein 3 OS=Homo sapiens GN=ANKS3 PE=1 SV=1	<5e2
ENST00000639430	Q13470	Non-receptor tyrosine-protein kinase TNK1 OS=Homo sapiens GN=TNK1 PE=1 SV=3	<5e2
ENST00000553380	Q9Y6Q3	Zinc finger protein 37 homolog OS=Homo sapiens GN=ZFP37 PE=2 SV=3	<5e2
ENST00000376757	Q8TE77	Protein phosphatase Slingshot homolog 3 OS=Homo sapiens GN=SSH3 PE=1 SV=2	<5e2
ENST00000535102	Q9HA65	TBC1 domain family member 17 OS=Homo sapiens GN=TBC1D17 PE=2 SV=1	<5e2
ENST00000354285	Q6ZUT9	DENN domain-containing protein 5B OS=Homo sapiens GN=DENND5B PE=1 SV=2	<5e2
ENST00000358913	Q86TC9	Myopalladin OS=Homo sapiens GN=MYPN PE=1 SV=2	<5e2
ENST00000621840	Q9H7E2	Tudor domain-containing protein 3 OS=Homo sapiens GN=TDRD3 PE=1 SV=1	<5e2
ENST00000424789	Q9HCD6	Protein TANC2 OS=Homo sapiens GN=TANC2 PE=1 SV=3	<5e2
ENST00000619554	Q9H094	Neuroblastoma breakpoint family member 3 OS=Homo sapiens GN=NBPF3 PE=2 SV=1	<5e2
ENST00000290649	Q9UKV5	Autocrine motility factor receptor, isoform 2 OS=Homo sapiens GN=AMFR PE=1 SV=2	<5e2
ENST00000427980	P0C7T5	Ataxin-1-like OS=Homo sapiens GN=ATXN1L PE=1 SV=1	<5e2
ENST00000529629	O15484	Calpain-5 OS=Homo sapiens GN=CAPN5 PE=2 SV=2	<5e2
---	Q3MJD5	Transmembrane protein C12orf51 OS=Homo sapiens GN=C12orf51 PE=2 SV=1	<5e2
ENST00000372771	Q13129	Zinc finger protein Rlf OS=Homo sapiens GN=RLF PE=1 SV=2	<5e2
ENST00000311277	Q49MG5	Microtubule-associated protein 9 OS=Homo sapiens GN=MAP9 PE=1 SV=3	<5e2
ENST00000272542	Q8WUM9	Sodium-dependent phosphate transporter 1 OS=Homo sapiens GN=SLC20A1 PE=1 SV=1	<5e2
ENST00000389975	Q6UXI7	Vitrin OS=Homo sapiens GN=VIT PE=2 SV=1	<5e2
ENST00000389554	Q16650	T-box brain protein 1 OS=Homo sapiens GN=TBR1 PE=1 SV=1	<5e2
ENST00000361387	Q9NTW7	Zinc finger protein 64 homolog, isoforms 3 and 4 OS=Homo sapiens GN=ZFP64 PE=2 SV=3	<5e2
ENST00000370695	Q92581	Sodium/hydrogen exchanger 6 OS=Homo sapiens GN=SLC9A6 PE=1 SV=2	<5e2
ENST00000317336	Q9ULJ1	Outer dense fiber protein 2-like OS=Homo sapiens GN=ODF2L PE=2 SV=2	<5e2
ENST00000375377	Q9P266	Uncharacterized protein KIAA1462 OS=Homo sapiens GN=KIAA1462 PE=1 SV=3	<5e2
ENST00000643139	Q8N196	Homeobox protein SIX5 OS=Homo sapiens GN=SIX5 PE=1 SV=3	<5e2
ENST00000287482	Q6UVJ0	Spindle assembly abnormal protein 6 homolog OS=Homo sapiens GN=SASS6 PE=1 SV=1	<5e2
ENST00000251343	O15037	Protein KIAA0323 OS=Homo sapiens GN=KIAA0323 PE=1 SV=2	<5e2
ENST00000442011	Q15582	Transforming growth factor-beta-induced protein ig-h3 OS=Homo sapiens GN=TGFBI PE=1 SV=1	<5e2
ENST00000443047	Q96EP1	E3 ubiquitin-protein ligase CHFR OS=Homo sapiens GN=CHFR PE=1 SV=2	<5e2
ENST00000543751	Q14680	Maternal embryonic leucine zipper kinase OS=Homo sapiens GN=MELK PE=1 SV=3	<5e2
ENST00000439151	Q96L73	Histone-lysine N-methyltransferase, H3 lysine-36 and H4 lysine-20 specific OS=Homo sapiens GN=NSD1 PE=1 SV=1	<5e2
ENST00000269221	Q96DM3	Uncharacterized protein C18orf8 OS=Homo sapiens GN=C18orf8 PE=1 SV=2	<5e2
ENST00000370440	Q9H582	Zinc finger protein 644 OS=Homo sapiens GN=ZNF644 PE=1 SV=2	<5e2
ENST00000262127	Q8TAP6	Centrosomal protein of 76 kDa OS=Homo sapiens GN=CEP76 PE=1 SV=1	<5e2
ENST00000371992	Q8WZA1	Protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1 OS=Homo sapiens GN=POMGNT1 PE=1 SV=1	<5e2
ENST00000612291	Q86W26	NACHT, LRR and PYD domains-containing protein 10 OS=Homo sapiens GN=NLRP10 PE=1 SV=1	<5e2
ENST00000263370	Q96DU7	Inositol-trisphosphate 3-kinase C OS=Homo sapiens GN=ITPKC PE=1 SV=1	<5e2
ENST00000383814	Q8NFR9	Interleukin-17 receptor E OS=Homo sapiens GN=IL17RE PE=2 SV=1	<5e2
ENST00000434316	Q6UWJ1	Transmembrane and coiled-coil domain-containing protein 3 OS=Homo sapiens GN=TMCO3 PE=2 SV=1	<5e2
ENST00000243344	Q7Z4L5	Tetratricopeptide repeat protein 21B OS=Homo sapiens GN=TTC21B PE=2 SV=1	<5e2
ENST00000615670	Q86YV5	Tyrosine-protein kinase SgK223 OS=Homo sapiens GN=SGK223 PE=1 SV=2	<5e2
ENST00000393312	Q2TB10	Zinc finger protein 800 OS=Homo sapiens GN=ZNF800 PE=1 SV=1	<5e2
ENST00000642355	P81274	G-protein-signaling modulator 2 OS=Homo sapiens GN=GPSM2 PE=1 SV=2	<5e2
ENST00000442713	Q7RTS9	Dymeclin OS=Homo sapiens GN=DYM PE=1 SV=1	<5e2
ENST00000372981	Q96C24	Synaptotagmin-like protein 4 OS=Homo sapiens GN=SYTL4 PE=1 SV=1	<5e2
ENST00000481090	Q3MII6	TBC1 domain family member 25 OS=Homo sapiens GN=TBC1D25 PE=1 SV=1	<5e2
ENST00000374343	Q8N5G2	Macoilin OS=Homo sapiens GN=TMEM57 PE=1 SV=1	<5e2
ENST00000355689	Q86WT1	Tetratricopeptide repeat protein 30A OS=Homo sapiens GN=TTC30A PE=2 SV=3, Tetratricopeptide repeat protein 30B OS=Homo sapiens GN=TTC30B PE=2 SV=1	<5e2
ENST00000379019	Q9NPB8	Putative glycerophosphodiester phosphodiesterase 5 OS=Homo sapiens GN=GDE5 PE=1 SV=2	<5e2
ENST00000264669	Q14CZ7	FAST kinase domain-containing protein 3 OS=Homo sapiens GN=FASTKD3 PE=2 SV=1	<5e2
ENST00000260184	Q5H9U9	Probable ATP-dependent RNA helicase DDX60-like OS=Homo sapiens GN=DDX60L PE=2 SV=1	<5e2
ENST00000216373	Q07890	Son of sevenless homolog 2 OS=Homo sapiens GN=SOS2 PE=1 SV=2	<5e2
ENST00000435817	Q86WN1	FCH and double SH3 domains protein 1 OS=Homo sapiens GN=FCHSD1 PE=1 SV=1	<5e2
ENST00000616813	Q8N7Z2	Golgin subfamily A member 6-like protein 1 OS=Homo sapiens PE=2 SV=1	<5e2
ENST00000261304	P54803	Galactocerebrosidase OS=Homo sapiens GN=GALC PE=1 SV=2	<5e2
ENST00000391952	Q8N2M8	Splicing factor, arginine/serine-rich 16 OS=Homo sapiens GN=SFRS16 PE=1 SV=4	<5e2
ENST00000599957	Q9NT99	Leucine-rich repeat-containing protein 4B OS=Homo sapiens GN=LRRC4B PE=1 SV=3	<5e2
ENST00000458085	Q6MZZ7	Calpain-13 OS=Homo sapiens GN=CAPN13 PE=1 SV=2	<5e2
ENST00000442846	Q96LC7	Sialic acid-binding Ig-like lectin 10 OS=Homo sapiens GN=SIGLEC10 PE=1 SV=3	<5e2
ENST00000265728	Q9UBU7	Protein DBF4 homolog A OS=Homo sapiens GN=DBF4 PE=1 SV=1	<5e2
ENST00000262059	Q9P1Z2	Calcium-binding and coiled-coil domain-containing protein 1 OS=Homo sapiens GN=CALCOCO1 PE=1 SV=2	<5e2
ENST00000360947	Q9P2Y4	Zinc finger protein 219 OS=Homo sapiens GN=ZNF219 PE=1 SV=2	<5e2
ENST00000376279	P05165	Propionyl-CoA carboxylase alpha chain, mitochondrial OS=Homo sapiens GN=PCCA PE=1 SV=3	<5e2
ENST00000542267	Q9UF56	F-box/LRR-repeat protein 17 OS=Homo sapiens GN=FBXL17 PE=2 SV=3	<5e2
ENST00000371998	Q9Y6Q9	Nuclear receptor coactivator 3 OS=Homo sapiens GN=NCOA3 PE=1 SV=1	<5e2
ENST00000251900	Q9UQR0	Sex comb on midleg-like protein 2 OS=Homo sapiens GN=SCML2 PE=1 SV=1	<5e2
ENST00000397223	Q8IWF2	FAD-dependent oxidoreductase domain-containing protein 2 OS=Homo sapiens GN=FOXRED2 PE=1 SV=1	<5e2
ENST00000503233	O15254	Peroxisomal acyl-coenzyme A oxidase 3 OS=Homo sapiens GN=ACOX3 PE=2 SV=2	<5e2
ENST00000257430	P25054	Adenomatous polyposis coli protein OS=Homo sapiens GN=APC PE=1 SV=2	<5e2
ENST00000562631	Q9Y653	G-protein coupled receptor 56 OS=Homo sapiens GN=GPR56 PE=1 SV=2	<5e2
ENST00000338728	Q8N8Z6	Discoidin, CUB and LCCL domain-containing protein 1 OS=Homo sapiens GN=DCBLD1 PE=2 SV=2	<5e2
ENST00000409175	Q9H992	E3 ubiquitin-protein ligase MARCH7 OS=Homo sapiens GN=MARCH7 PE=1 SV=1	<5e2
ENST00000436117	P08581	Hepatocyte growth factor receptor OS=Homo sapiens GN=MET PE=1 SV=4	<5e2
ENST00000381223	O96006	Zinc finger BED domain-containing protein 1 OS=Homo sapiens GN=ZBED1 PE=1 SV=1	<5e2
ENST00000391993	Q8TDR0	TRAF3-interacting protein 1 OS=Homo sapiens GN=TRAF3IP1 PE=1 SV=1	<5e2
ENST00000294785	Q92542	Nicastrin OS=Homo sapiens GN=NCSTN PE=1 SV=2	<5e2
ENST00000264638	P78357	Contactin-associated protein 1 OS=Homo sapiens GN=CNTNAP1 PE=1 SV=1	<5e2
ENST00000527771	Q9HBZ2	Aryl hydrocarbon receptor nuclear translocator 2 OS=Homo sapiens GN=ARNT2 PE=1 SV=2	<5e2
