id,domain,uniprot,genes,details,function1,function2,invis,obsolete,species
1569,3U0O,P16456,selD fdhB b1764 JW1753,,Synthesizes selenophosphate from selenide and ATP.,,1,,1
1570,3UF7,P12295,ung b2580 JW2564,,Excises uracil residues from the DNA which can arise as a result of misincorporation of dUMP residues by DNA polymerase or due to deamination of cytosine.,,1,,1
1571,3ULK,P05793,ilvC b3774 JW3747,,"Involved in the biosynthesis of branched-chain amino acids (BCAA). Catalyzes an alkyl-migration followed by a ketol-acid reduction of (S)-2-acetolactate (S2AL) to yield (R)-2,3-dihydroxy-isovalerate. In the isomerase reaction, S2AL is rearranged via a Mg-dependent methyl migration to produce 3-hydroxy-3-methyl-2-ketobutyrate (HMKB). In the reductase reaction, this 2-ketoacid undergoes a metal-dependent reduction by NADPH to yield (R)-2,3-dihydroxy-isovalerate. Also able to use 2-ketopantoate, 2-ketoisovalerate, 2-ketovalerate, 2-ketobutyrate, 3-hydroxypyruvate, 3-hydroxy-2-ketobutyrate and pyruvate (PubMed:15654896). {ECO:0000269|PubMed:15654896, ECO:0000269|PubMed:21515217, ECO:0000269|PubMed:2653423, ECO:0000269|PubMed:9015391}.",,1,,1
1572,3UMO,P06999,pfkB b1723 JW5280,,"Catalyzes the phosphorylation of D-fructose 6-phosphate to fructose 1,6-bisphosphate by ATP, the first committing step of glycolysis. {ECO:0000269|PubMed:16866375}.",,1,,1
1573,3V97,P75864,rlmL rlmK rlmKL ycbY b0948 JW0931,,"Specifically methylates the guanine in position 2445 (m2G2445) and the guanine in position 2069 (m7G2069) of 23S rRNA. Methylation occurs before assembly of 23S rRNA into 50S subunits. {ECO:0000269|PubMed:17010378, ECO:0000269|PubMed:22210896, ECO:0000269|PubMed:22362734}.",,1,,1
1574,3V9W,P30014,rnt b1652 JW1644,,"Trims short 3' overhangs of a variety of RNA species, leaving a one or two nucleotide 3' overhang. Responsible for the end-turnover of tRNA: specifically removes the terminal AMP residue from uncharged tRNA (tRNA-C-C-A). Also appears to be involved in tRNA biosynthesis, especially in strains lacking other exoribonucleases. {ECO:0000255|HAMAP-Rule:MF_00157, ECO:0000269|PubMed:12364334, ECO:0000269|PubMed:17437714, ECO:0000269|PubMed:21317904}.",,1,,1
1575,3VGZ,P76116,yncE b1452 JW1447,,,,1,,1
1576,3VJR,P0A7D1,pth b1204 JW1195,,"The natural substrate for this enzyme may be peptidyl-tRNAs which drop off the ribosome during protein synthesis. Involved in lambda inhibition of host protein synthesis. PTH activity may, directly or indirectly, be the target for lambda bar RNA leading to rap cell death.",,1,,1
1577,3VMA,P02919,mrcB pbpF ponB b0149 JW0145,,Cell wall formation. Synthesis of cross-linked peptidoglycan from the lipid intermediates. The enzyme has a penicillin-insensitive transglycosylase N-terminal domain (formation of linear glycan strands) and a penicillin-sensitive transpeptidase C-terminal domain (cross-linking of the peptide subunits).,,1,,1
1578,3W1Y,P0A7R5,rpsJ nusE b3321 JW3283,,"Involved in the binding of tRNA to the ribosomes (PubMed:6759118). In addition, in complex with NusB, is involved in the regulation of ribosomal RNA (rRNA) biosynthesis by transcriptional antitermination. S10 binds RNA non-specifically and increases the affinity of NusB for the boxA RNA sequence (PubMed:7678781, PubMed:11884128, PubMed:16109710). S10 may constitute the critical antitermination component of the NusB-S10 complex (PubMed:19111659). {ECO:0000269|PubMed:11884128, ECO:0000269|PubMed:16109710, ECO:0000269|PubMed:19111659, ECO:0000269|PubMed:6759118, ECO:0000269|PubMed:7678781}.",,1,,1
1579,3WLX,P75823,ltaE ybjU b0870 JW0854,,Catalyzes the cleavage of L-allo-threonine and L-threonine to glycine and acetaldehyde. L-threo-phenylserine and L-erythro-phenylserine are also good substrates.,,1,,1
1580,3WRP,P0A881,trpR rtrY b4393 JW4356,,This protein is an aporepressor. When complexed with L-tryptophan it binds the operator region of the trp operon (5'-ACTAGT-'3') and prevents the initiation of transcription. The complex also regulates trp repressor biosynthesis by binding to its regulatory region.,,1,,1
1581,4A8C,P39099,degQ hhoA b3234 JW3203,,"DegQ could degrade transiently denatured and unfolded proteins which accumulate in the periplasm following stress conditions. DegQ is efficient with Val-Xaa and Ile-Xaa peptide bonds, suggesting a preference for a beta-branched side chain amino acids. Only unfolded proteins devoid of disulfide bonds appear capable to be cleaved, thereby preventing non-specific proteolysis of folded proteins. DegQ can substitute for the periplasmic protease DegP. {ECO:0000269|PubMed:8576051, ECO:0000269|PubMed:8830688}.",,1,,1
1582,4ADB,P77581,astC argM cstC ydjW b1748 JW1737,,Catalyzes the transamination of N(2)-succinylornithine and alpha-ketoglutarate into N(2)-succinylglutamate semialdehyde and glutamate. Can also act as an acetylornithine aminotransferase. {ECO:0000269|PubMed:9696779}.,,1,,1
1583,4AF2,P0A862,tpx yzzJ b1324 JW1317,,"Thiol-specific peroxidase that catalyzes the reduction of hydrogen peroxide and organic hydroperoxides to water and alcohols, respectively. Plays a role in cell protection against oxidative stress by detoxifying peroxides. Has a preference for alkyl hydroperoxides and acts as lipid peroxidase to inhibit bacterial membrane oxidation. Acts as principal antioxidant during anaerobic growth. {ECO:0000255|HAMAP-Rule:MF_00269, ECO:0000269|PubMed:12514184, ECO:0000269|PubMed:14676195}.",,1,,1
1584,4AMV,P17169,glmS b3729 JW3707,,"Catalyzes the first step in hexosamine metabolism, converting fructose-6P into glucosamine-6P using glutamine as a nitrogen source.",,1,,1
1585,4AQ4,P0AG80,ugpB b3453 JW3418,,sn-glycerol-3-phosphate and glycerophosphoryl diester-binding protein interacts with the binding protein-dependent transport system UgpACE.,,1,,1
1586,4ARC,P07813,leuS b0642 JW0637,,,,1,,1
1587,4AUK,P0ADR6,rlmM ygdE b2806 JW2777 b1976,,"Catalyzes the 2'-O-methylation at nucleotide C2498 in 23S rRNA. Modifies C2498 in naked 23S rRNA, but not in assembled 50S subunits or ribosomes. {ECO:0000269|PubMed:19400805, ECO:0000269|PubMed:22923526}.",,1,,1
1588,4BFA,P33371,dusC yohI b2140 JW2128,,"Catalyzes the synthesis of 5,6-dihydrouridine (D), a modified base found in the D-loop of most tRNAs, via the reduction of the C5-C6 double bond in target uridines. DusC specifically modifies U16 in tRNAs. {ECO:0000255|HAMAP-Rule:MF_02043, ECO:0000269|PubMed:11983710, ECO:0000269|PubMed:25902496}.",,1,,1
1589,4BHT,P00370,gdhA b1761 JW1750,,"Catalyzes the reversible oxidative deamination of glutamate to alpha-ketoglutarate and ammonia. {ECO:0000269|PubMed:235298, ECO:0000269|PubMed:241744}.",,1,,1
1590,4BIN,P63883,amiC ygdN b2817 JW5449,,"Cell-wall hydrolase involved in septum cleavage during cell division. Can also act as powerful autolysin in the presence of murein synthesis inhibitors. {ECO:0000269|PubMed:11454209, ECO:0000269|PubMed:18390656}.",,1,,1
1591,4BLU,P37634,rlmJ yhiR b3499 JW3466,,"Specifically methylates the adenine in position 2030 of 23S rRNA. Nascent 23S rRNA seems to be the natural substrate. Appears to be not necessary for ribosome assembly. Required for the utilization of extracellular DNA as the sole source of carbon and energy (PubMed:11591672, PubMed:16707682). {ECO:0000255|HAMAP-Rule:MF_00934, ECO:0000269|PubMed:11591672, ECO:0000269|PubMed:16707682, ECO:0000269|PubMed:22847818, ECO:0000269|PubMed:23945937}.",,1,,1
1592,4C00,P0ADE4,tamA yftM ytfM b4220 JW4179,,"Part of the translocation and assembly module (TAM) autotransporter assembly complex, which functions in translocation of autotransporters across the outer membrane (PubMed:22466966, PubMed:25341963). Allows substrate (Ag43, AC P39180) to initiate penetration into the outer membrane; TamB is not necessary but may regulate this activity (PubMed:25341963). Has anion selective channel-forming ability, but the physiological relevance of this activity is unclear (PubMed:22466966). {ECO:0000269|PubMed:22466966, ECO:0000269|PubMed:25341963}.",,1,,1
1593,4C48,P0AAW9,acrZ ybhT b0762 JW5102,,"AcrA-AcrB-AcrZ-TolC is a drug efflux protein complex with a broad substrate specificity. This protein binds to AcrB and is required for efflux of some but not all substrates, suggesting it may influence the specificity of drug export. {ECO:0000255|HAMAP-Rule:MF_01484, ECO:0000269|PubMed:23010927}.",,1,,1
1594,4C5C,P07862,ddlB ddl b0092 JW0090,,Cell wall formation.,,1,,1
1595,4CFP,P0C066,mltC yggZ b2963 JW5481,,Murein-degrading enzyme. May play a role in recycling of muropeptides during cell elongation and/or cell division. {ECO:0000255|HAMAP-Rule:MF_01616}.,,1,,1
1596,4CSU,P42641,obgE cgtA obg yhbZ b3183 JW3150,,"An abundant, essential GTPase which binds GTP, GDP and ppGpp with moderate affinity. Has high guanosine nucleotide exchange rate constants for GTP and GDP, and a relatively low GTP hydrolysis rate stimulated by the 50S ribosomal subunit. It is estimated there are 34000 molecules in log-phase cells and 5600 molecules in stationary-phase cells. Required for chromosome segregation. Plays a role in the stringent response, perhaps by sequestering 50S ribosomal subunits and decreasing protein synthesis (PubMed:19555460), and a non-essential role in the late steps of ribosome biogenesis, perhaps acting as a checkpoint for correct 50S subunit synthesis (Probable) (PubMed:24844575). Overexpression increases bacterial persistence (in exponential and stationary phase) in response to antibiotics (PubMed:26051177). Cells expressing high levels of Obg are more likely to form persister cells upon antibiotic exposure; this requires alarmone (p)ppGpp and acts via induced HokB, depolarizing cells, which probably reduces metabolic activity and induces persistence (PubMed:26051177). The persister phenotype can be separated from the essential phenotype (PubMed:26051177). {ECO:0000269|PubMed:11555285, ECO:0000269|PubMed:11976298, ECO:0000269|PubMed:12402086, ECO:0000269|PubMed:15836769, ECO:0000269|PubMed:16980477, ECO:0000269|PubMed:17578452, ECO:0000269|PubMed:17616600, ECO:0000269|PubMed:19555460, ECO:0000269|PubMed:26051177, ECO:0000305|PubMed:24844575}.; FUNCTION: Required for correct chromosome partitioning; in temperature-sensitive (ts) mutant nucleoids do not partition but remain in the middle of cell, cells elongate but do not divide. Overexpression protects cells against UV damage. Ts mutants have impaired plasmid and lamdba phage replication, possibly via effects on DnaA (PubMed:12826057). Regulates DnaA levels. Genetic interactions of Val-168 and a C-terminal insertion mutant with the double-strand break repair factors recA and recBCD, and with seqA suggests that ObgE, either directly or indirectly, promotes replication fork stability (PubMed:15721258). May protect replication forks from stress induced by toxic levels of hydroxyl radicals (PubMed:22863262). Initiation of DNA replication continues in ObgE-depleted cells. {ECO:0000269|PubMed:11555285, ECO:0000269|PubMed:12402086, ECO:0000269|PubMed:12826057, ECO:0000269|PubMed:12855728, ECO:0000269|PubMed:15721258, ECO:0000269|PubMed:16518617, ECO:0000269|PubMed:17578452, ECO:0000269|PubMed:22863262}.; FUNCTION: Binds to pre-50S ribosomal subunits in a salt-dependent manner. Acts as a ribosome anti-association factor; guanosine nucleotides stimulate ObgE 50S subunit binding and also ObgE-mediated 70S ribosome dissocation (GDP<GTP<GMP-PNP<ppGpp) (PubMed:24844575). Overexpression rescues an rrmJ deletion stabilizing the 70S ribosome. Even at permissive temperatures the ts mutant (Gln-80/Asn-85) shows disrupted 50S ribosomal subunit assembly, defects in 16 and 23S rRNA processing and altered association of some late-assembling ribosomal proteins (PubMed:11555285). Dissociates from the pre-50S ribosome under conditions of amino acid starvation. The levels of (p)ppGpp rise in the ts mutant (Gln-80/Asn-85), possibly because ObgE controls SpoT. Binds GDP and ppGpp with the same affinity. During ribosome assembly ObgE acts later than the rRNA methyltransferase RrmJ and DEAD-box RNA helicases DeaD and SrmB. {ECO:0000269|PubMed:11555285, ECO:0000269|PubMed:11976298, ECO:0000269|PubMed:15292126, ECO:0000269|PubMed:15836769, ECO:0000269|PubMed:16980477, ECO:0000269|PubMed:17616600, ECO:0000269|PubMed:19555460, ECO:0000269|PubMed:24844575}.",,1,,1
1597,4CVQ,P0A959,alaA yfbQ b2290 JW2287,,Involved in the biosynthesis of alanine. {ECO:0000269|PubMed:20729367}.,,1,,1
1598,4CVR,P0ABD3,bfr b3336 JW3298,,"Iron-storage protein, whose ferroxidase center binds Fe(2+) ions, oxidizes them by dioxygen to Fe(3+), and participates in the subsequent Fe(3+) oxide mineral core formation within the central cavity of the protein complex. The mineralized iron core can contain as many as 2700 iron atoms/24-meric molecule. {ECO:0000269|PubMed:10769150, ECO:0000269|PubMed:14636073}.",,1,,1
1599,4D02,Q46877,norV flrD ygaI ygaJ ygaK b2710 JW2680,,"Anaerobic nitric oxide reductase; uses NADH to detoxify nitric oxide (NO), protecting several 4Fe-4S NO-sensitive enzymes. Has at least 2 reductase partners, only one of which (NorW, flavorubredoxin reductase) has been identified. NO probably binds to the di-iron center; electrons enter from the reductase at rubredoxin and are transferred sequentially to the FMN center and the di-iron center. Also able to function as an aerobic oxygen reductase.",,1,,1
1600,4D79,Q46927,tcdA csdL ygdL b2812 JW2783,,"Catalyzes the ATP-dependent dehydration of threonylcarbamoyladenosine at position 37 (t(6)A37) to form cyclic t(6)A37 (ct(6)A37) in tRNAs that read codons beginning with adenine. TcdA is also part of a sulfur transfer pathway; is able to accept sulfur from CsdA directly in vitro, but CsdE might act as the sulfur donor in vivo. {ECO:0000269|PubMed:20054882, ECO:0000269|PubMed:23242255}.",,1,,1
1601,4D8J,P0A8N0,matP ycbG b0956 JW0939,,"Required for spatial organization of the terminus region of the chromosome (Ter macrodomain) during the cell cycle. Prevents early segregation of duplicated Ter macrodomains during cell division. Binds specifically to matS, which is a 13 bp signature motif repeated within the Ter macrodomain. {ECO:0000255|HAMAP-Rule:MF_01073, ECO:0000269|PubMed:18984159}.",,1,,1
1602,4D9I,P66899,ygeX b2871 JW2839,,"Catalyzes the alpha,beta-elimination reaction of both L- and D-alpha,beta-diaminopropionate (DAP) to form pyruvate and ammonia. In vitro the D-isomer of serine is degraded to pyruvate, though very poorly; other amino acids (L-serine, D- and L-threonine, D- and L-beta-Cl-alanine) are not substrates. In vivo allows poor growth on L-DAP or a DL-DAP mixture but not on D-DAP alone, this may be due to a poor promoter. DL-DAP is toxic in the absence of this enzyme, it may inhibit enzymes involved in the synthesis of pyruvate and aspartate, as well as amino acids derived from them. {ECO:0000269|PubMed:12596860, ECO:0000269|PubMed:12821154, ECO:0000269|PubMed:22505717, ECO:0000269|PubMed:22904288}.",,1,,1
1603,4DAP,P0A823,sfsA sfs1 b0146 JW0142,,"Binds to DNA non-specifically. Could be a regulatory factor involved in maltose metabolism. {ECO:0000255|HAMAP-Rule:MF_00095, ECO:0000269|PubMed:11272834, ECO:0000269|PubMed:2013578}.",,1,,1
1604,4DCM,P42596,rlmG ygjO b3084 JW5513,,Specifically methylates the guanine in position 1835 (m2G1835) of 23S rRNA. {ECO:0000269|PubMed:17010380}.,,1,,1
1605,4DJK,P63235,gadC acsA xasA b1492 JW1487,,Involved in glutamate-dependent acid resistance. Imports glutamate inside the cell while simultaneously exporting to the periplasm the GABA produced by GadA and GadB. The gad system helps to maintain a near-neutral intracellular pH when cells are exposed to extremely acidic conditions. The ability to survive transit through the acidic conditions of the stomach is essential for successful colonization of the mammalian host by commensal and pathogenic bacteria.,,1,,1
1606,4DNT,P38054,cusA ybdE b0575 JW0564,,"Part of a cation efflux system that mediates resistance to copper and silver. {ECO:0000269|PubMed:11399769, ECO:0000269|PubMed:12813074}.",,1,,1
1607,4DT4,P0AEM0,fkpB slpA yaaD b0028 JW0026,,"PPIases accelerate the folding of proteins. Substrate specificity investigated with 'Suc-Ala-Xaa-Pro-Phe-4-nitroanilide' where Xaa is the amino acid tested, was found to be Phe > Leu >> Ile > Lys = Ala > Trp > His >> Gln.",,1,,1
1608,4DX5,P31224,acrB acrE b0462 JW0451,,"AcrA-AcrB-AcrZ-TolC is a drug efflux protein complex with broad substrate specificity that uses the proton motive force to export substrates. {ECO:0000269|PubMed:16915237, ECO:0000269|PubMed:16946072, ECO:0000269|PubMed:17194213, ECO:0000269|PubMed:23010927}.; FUNCTION: Involved in contact-dependent growth inhibition (CDI), acts downstream of BamA, the receptor for CDI. Its role in CDI is independent of the AcrA-AcrB-TolC efflux pump complex. {ECO:0000269|PubMed:18761695}.",,1,,1
1609,4DZD,Q46897,casE cas6e ygcH b2756 JW2726,,"CRISPR (clustered regularly interspaced short palindromic repeat), is an adaptive immune system that provides protection against mobile genetic elements (viruses, transposable elements and conjugative plasmids). CRISPR clusters contain sequences complementary to antecedent mobile elements and target invading nucleic acids. CRISPR clusters are transcribed and processed into CRISPR RNA (crRNA).; FUNCTION: CasE is required to process the pre-crRNA into single repeat-spacer units, with an 8-nt 5'-repeat DNA tag that may help other proteins recognize the crRNA. This subunit alone will cleave pre-crRNA, as will CasCDE or CasCE; cleavage does not require divalent metals or ATP. CasCDE alone is also able to form R-loops. Partially inhibits the cleavage of Holliday junctions by YgbT (Cas1). Yields a 5'-hydroxy group and a 2',3'-cyclic phosphate terminus.; FUNCTION: A component of Cascade, which participates in CRISPR interference, the third stage of CRISPR immunity. Cascade binds both crRNA and in a sequence-specific manner negatively supercoiled dsDNA target. This leads to the formation of an R-loop in which the crRNA binds the target DNA, displacing the noncomplementary strand. Cas3 is recruited to Cascade, nicks target DNA and then unwinds and cleaves the target, leading to DNA degradation and invader neutralization.",,1,,1
1610,4E9S,P36649,cueO yacK b0123 JW0119,,Probably involved in periplasmic detoxification of copper by oxidizing Cu(+) to Cu(2+) and thus preventing its uptake into the cytoplasm. Possesses phenoloxidase and ferroxidase activities and might be involved in the production of polyphenolic compounds and the prevention of oxidative damage in the periplasm.,,1,,1
1611,4EAC,P24215,uxuA b4322 JW4285,,Catalyzes the dehydration of D-mannonate. {ECO:0000269|PubMed:3038546}.,,1,,1
1612,4ER8,Q47152,rayT TnpAREP yafM b0228 JW0218,,"Transposase that is always flanked by repeated extragenic palindrome (REP) sequences, which are clustered in structures called bacterial interspersed mosaic elements (BIMEs). RayT catalyzes cleavage and recombination of BIMEs. Binds REP sequences and cleaves BIMEs both upstream and downstream of the REP sequence. Could be important in the creation of BIME variability and amplification. {ECO:0000269|PubMed:20085626, ECO:0000269|PubMed:22199259, ECO:0000269|PubMed:22885300}.",,1,,1
1613,4F2D,P08202,araA b0062 JW0061,,Catalyzes the conversion of L-arabinose to L-ribulose.,,1,,1
1614,4F9D,P75906,pgaB ycdR b1023 JW5142,,"Catalyzes the N-deacetylation of poly-beta-1,6-N-acetyl-D-glucosamine (PGA), a biofilm adhesin polysaccharide. N-deacetylation promotes PGA export through the PgaA porin. {ECO:0000269|PubMed:15090514, ECO:0000269|PubMed:18359807}.",,1,,1
1615,4FE7,P0ACI3,xylR b3569 JW3541,,Regulatory protein for the xylBAFGHR operon.,,1,,1
1616,4FIN,P0A9W3,ettA yjjK b4391 JW4354,,"A translation factor that gates the progression of the 70S ribosomal initiation complex (IC, containing tRNA(fMet) in the P site) into the translation elongation cycle by using a mechanism sensitive to the ATP/ADP ratio. Binds to the 70S ribosome E site where it modulates the state of the translating ribosome during subunit translocation. Stimulates dipeptide bond synthesis in the presence of ATP (cell in high energy state), but inhibits dipeptide synthesis in the presence of ADP (cell in low energy state), and thus may control translation in response to changing ATP levels (including during stationary phase). Following ATP hydrolysis is probably released allowing the ribosome to enter the elongation phase. Its specificity for the IC may be conferred by its recognition of features unique to tRNA(fMet). {ECO:0000269|PubMed:24389465, ECO:0000269|PubMed:24389466}.",,1,,1
1617,4FXE,P0C079,relB b1564 JW1556,,"Antitoxin component of a type II toxin-antitoxin (TA) module. Counteracts the effect of cognate toxin RelE via direct protein-protein interaction, preventing RelE from entering the ribosome A site and thus inhibiting its endoribonuclease activity. An autorepressor of relBE operon transcription. 2 RelB dimers bind to 2 operator sequences; DNA-binding and repression is stronger when complexed with toxin/corepressor RelE by conditional cooperativity (PubMed:18501926, PubMed:22981948). Increased transcription rate of relBE and activation of relE is consistent with a lower level of RelB in starved cells due to degradation of RelB by protease Lon. {ECO:0000269|PubMed:11274135, ECO:0000269|PubMed:11717402, ECO:0000269|PubMed:12123459, ECO:0000269|PubMed:18501926, ECO:0000269|PubMed:18532983, ECO:0000269|PubMed:19707553, ECO:0000269|PubMed:19747491, ECO:0000269|PubMed:22210768, ECO:0000269|PubMed:22981948, ECO:0000269|PubMed:9767574}.; FUNCTION: Seems to be a principal mediator of cell death in liquid media. {ECO:0000269|PubMed:19707553}.",,1,,1
1618,4FYY,P0A7F3,pyrI b4244 JW4203,,Involved in allosteric regulation of aspartate carbamoyltransferase.,,1,,1
1619,4FZW,P76082,paaF ydbR b1393 JW1388,,"Catalyzes the reversible conversion of enzymatically produced 2,3-dehydroadipyl-CoA into 3-hydroxyadipyl-CoA. {ECO:0000269|PubMed:20660314, ECO:0000269|PubMed:9748275}.",,1,,1
1620,4G0I,P42620,yqjG b3102 JW3073,,"Catalyzes glutathione (GSH)-dependent reduction of glutathionyl-hydroquinones (GS-HQs) to the corresponding hydroquinones. Can use a variety of GS-HQs as substrates, such as GS-p-hydroquinone (GS-HQ), GS-hydroxy-p-hydroquinone (GS-HHQ), GS-methyl-p-hydroquinone (GS-MHQ), GS-menadiol, and GS-trichloro-p-hydroquinone (GS-TriCH). Also displays GSH-dependent disulfide-bond reduction activity toward HED (2-hydroxyethyl disulfide), and is able to catalyze DMA (dimethylarsinate) reduction. Exhibits no GSH transferase activity with 1-chloro-2,4-dinitrobenzene (CDNB). {ECO:0000269|PubMed:20388120, ECO:0000269|PubMed:22686328, ECO:0000269|PubMed:22955277}.",,1,,1
1621,4G9B,P77366,ycjU b1317 JW1310,,"Catalyzes the interconversion of D-glucose 1-phosphate (G1P) and D-glucose 6-phosphate (G6P), forming beta-D-glucose 1,6-(bis)phosphate (beta-G16P) as an intermediate. The beta-phosphoglucomutase (Beta-PGM) acts on the beta-C(1) anomer of G1P. Glucose or lactose are used in preference to maltose, which is only utilized after glucose or lactose has been exhausted. It plays a key role in the regulation of the flow of carbohydrate intermediates in glycolysis and the formation of the sugar nucleotide UDP-glucose. {ECO:0000269|PubMed:15808744}.",,1,,1
1622,4G9S,P76002,pliG ycgK b1178 JW1167,,"Inhibits activity of g-type lysozyme, which confers increased lysozyme tolerance to the bacterium. {ECO:0000269|PubMed:20734102}.",,1,,1
1623,4GC0,P0AGF4,xylE b4031 JW3991,,"Uptake of D-xylose across the boundary membrane with the concomitant transport of protons into the cell (symport system). Glucose is not transported, but can compete for xylose binding sites and can inhibit xylose transport (in vitro). {ECO:0000269|PubMed:23075985}.",,1,,1
1624,4GEV,P0A884,thyA b2827 JW2795,,"Catalyzes the reductive methylation of 2'-deoxyuridine-5'-monophosphate (dUMP) to 2'-deoxythymidine-5'-monophosphate (dTMP) while utilizing 5,10-methylenetetrahydrofolate (mTHF) as the methyl donor and reductant in the reaction, yielding dihydrofolate (DHF) as a by-product (PubMed:3286637, PubMed:2223754, PubMed:9826509). This enzymatic reaction provides an intracellular de novo source of dTMP, an essential precursor for DNA biosynthesis. This protein also binds to its mRNA thus repressing its own translation (PubMed:7708505). {ECO:0000269|PubMed:2223754, ECO:0000269|PubMed:3286637, ECO:0000269|PubMed:7708505, ECO:0000269|PubMed:9826509}.",,1,,1
1625,4GIM,P33025,psuG pscG yeiN b2165 JW2152,,"Catalyzes the reversible cleavage of pseudouridine 5'-phosphate (PsiMP) to ribose 5-phosphate and uracil. Functions biologically in the cleavage direction, as part of a pseudouridine degradation pathway. {ECO:0000255|HAMAP-Rule:MF_01876, ECO:0000269|PubMed:18591240, ECO:0000269|PubMed:23066817}.",,1,,1
1626,4GKV,P39451,adhP yddN b1478 JW1474,,Preferred specificity is towards 1-propanol.,,1,,1
1627,4H54,P31129,ydeH ydeG b1535 JW1528,,"A diguanylate cyclase, overexpression leads to a strong repression of swimming; swimming returnes to normal when residues 206-207 are both mutated to Ala. Overexpression also leads to a reduction in flagellar abundance and a 20-fold increase in c-di-GMP levels in vivo. Required for aminoglycoside-mediated induction of biofilm formation, it also plays a lesser role in biofilm production in response to other classes of translation inhibitors. The c-di-GMP produced by this enzyme up-regulates poly-GlcNAc production as well as the biofilm synthesis protein PgaD, although c-di-GMP is probably not the main inducing principle. Cyclic-di-GMP is a second messenger which controls cell surface-associated traits in bacteria. {ECO:0000269|PubMed:19460094}.",,1,,1
1628,4HJZ,P0C960,emtA mltE sltZ ycgP b1193 JW5821,,Murein-degrading enzyme. May play a role in recycling of muropeptides during cell elongation and/or cell division. Preferentially cleaves at a distance of more than two disaccharide units from the ends of the glycan chain. Prefers cross-linked murein in vivo.,,1,,1
1629,4HL6,P76518,yfdE b2371 JW2368,,Involved in the catabolism of oxalate and in the adapatation to low pH. ACOCT serves to prime the oxalate-induced acid tolerance response (ATR) cycle by producing substrate for oxalyl-CoA decarboxylase (OXC) and formyl-coenzyme A transferase (FCOCT). Catalyzes the reversible conversion of acetyl-CoA and oxalate to oxalyl-CoA and acetate. It can also use formyl-CoA and oxalate to produce oxalyl-CoA and formate with significantly reduced specific activity. {ECO:0000269|PubMed:23935849}.,,1,,1
1630,4I42,P0ABU0,menB b2262 JW2257,,"Converts o-succinylbenzoyl-CoA (OSB-CoA) to 1,4-dihydroxy-2-naphthoyl-CoA (DHNA-CoA). {ECO:0000255|HAMAP-Rule:MF_01934, ECO:0000269|PubMed:1091286, ECO:0000269|PubMed:20643650, ECO:0000269|PubMed:21830810, ECO:0000269|PubMed:23658663}.",,1,,1
1631,4I8O,P52129,rnlA std yfjN b2630 JW2611,,"Toxic component of a type II toxin-antitoxin (TA) module (PubMed:20980243, PubMed:24112600). A stable (half-life 27.6 minutes) endoribonuclease that in the absence of cognate antitoxin RnlB causes generalized RNA degradation. Degrades late enterobacteria phage T4 mRNAs, protecting the host against T4 reproduction. Activity is inhibited by cognate antitoxin RnlB and by enterobacteria phage T4 protein Dmd (PubMed:20980243, PubMed:22403819). Targets cyaA mRNA (PubMed:19019153). {ECO:0000269|PubMed:17895580, ECO:0000269|PubMed:19019153, ECO:0000269|PubMed:20980243, ECO:0000269|PubMed:22403819, ECO:0000269|PubMed:24112600}.",,1,,1
1632,4IJZ,P0A6K1,dapF b3809 JW5592,,"Involved in the succinylase branch of the L-lysine biosynthesis and in the biosynthesis of the pentapeptide incorporated in the peptidoglycan moiety (PubMed:3283102). Catalyzes the stereoinversion of LL-2,6-diaminoheptanedioate (L,L-DAP) to meso-diaminoheptanedioate (meso-DAP) (PubMed:6378903, PubMed:3031013, PubMed:3042781). {ECO:0000269|PubMed:3031013, ECO:0000269|PubMed:3042781, ECO:0000269|PubMed:3283102, ECO:0000269|PubMed:6378903}.",,1,,1
1633,4IL0,Q46915,gudX ygcY b2788 JW2759,,Does not seem to have an in-vivo activity on glucarate or idarate. Its real substrate is unknown.,,1,,1
1634,4IU9,P37758,narU yddF b1469 JW1464,,"Catalyzes nitrate uptake, nitrite uptake and nitrite export across the cytoplasmic membrane. May function as a nitrate/H(+) and nitrite/H(+) channel. Could confer a selective advantage during severe nutrient starvation or slow growth. {ECO:0000269|PubMed:11967075, ECO:0000269|PubMed:15667293, ECO:0000269|PubMed:16804183, ECO:0000269|PubMed:18691156}.",,1,,1
1635,4IWN,P76290,cmoA yecO b1870 JW1859,,"Catalyzes the conversion of S-adenosyl-L-methionine (SAM) to carboxy-S-adenosyl-L-methionine (Cx-SAM). {ECO:0000255|HAMAP-Rule:MF_01589, ECO:0000269|PubMed:23676670}.",,1,,1
1636,4IWX,P0C0U4,rimK b0852 JW0836,,"Is an L-glutamate ligase that catalyzes the ATP-dependent post-translational addition of glutamate residues to the C-terminus of ribosomal protein S6 (RpsF). Is also able to catalyze the synthesis of poly-alpha-glutamate in vitro, via ATP hydrolysis from unprotected glutamate as substrate. The number of glutamate residues added to either RpsF or to poly-alpha-glutamate changes with pH. {ECO:0000255|HAMAP-Rule:MF_01552, ECO:0000269|PubMed:21278279, ECO:0000269|PubMed:2570347}.",,1,,1
